Altitude_yours,Latitude,Longitude,B_r_yours,B_phi_yours,B_theta_yours,B_magnitude_yours,Altitude_ref,B_r_ref,B_phi_ref,B_theta_ref,B_magnitude_ref,B_r_error_percent,B_phi_error_percent,B_theta_error_percent,B_magnitude_error_percent,angular_error_deg
400.0,-89.9,-9.9,42790.14,-5306.45,-11876.15,44723.56,400.0,43104.203022251626,-5256.486011828261,-11993.443477087843,45049.369027924615,-0.7286134535175101,0.9505207102103652,-0.9779799880819885,-0.7232266177194598,0.11935276118458152
400.0,-89.9,0.1,42793.88,-7300.1,-10784.01,44731.45,400.0,43107.925542668825,-7253.287058539666,-10900.291506955546,45052.411396977026,-0.728509986772574,0.6454031266447567,-1.0667742865532122,-0.7124177974601491,0.13579605545994064
400.0,-89.9,10.1,42799.66,-9072.58,-9365.04,44741.78,400.0,43113.700695539876,-9030.339301119267,-9476.785736984433,45057.16017973887,-0.728401158966991,0.4677642497386219,-1.179152300007476,-0.6999557417306832,0.14786330546701673
400.0,-89.9,20.1,42807.3,-10569.91,-7662.13,44753.73,400.0,43121.3538789024,-10533.51455935229,-7765.976364945204,45063.471661896016,-0.7283024549376539,0.3455203905841242,-1.3371965103313435,-0.6873453164459993,0.15519874501797692
400.0,-89.9,30.1,42816.55,-11746.38,-5726.89,44766.41,400.0,43130.653151283776,-11716.94476946177,-5819.700946557999,45071.154357241954,-0.7282596676244013,0.25121933334487456,-1.5947717487595356,-0.6761405639325163,0.1576392499185761
400.0,-89.9,40.1,42827.16,-12566.03,-3618.05,44779.02,400.0,43141.3162061488,-12544.439168473302,-3697.0270622625135,45079.97479091515,-0.7282026460379929,0.17211476126378708,-2.136231651336108,-0.6676019503360551,0.15527931780476742
400.0,-89.9,50.1,42838.78,-13003.69,-1399.7,44790.8,400.0,43153.018918927235,-12990.612166744933,-1462.4661537772904,45089.66459772148,-0.7281968372076252,0.10067141630588824,-4.2918021463386715,-0.6628228450751861,0.14835110812655258
400.0,-89.9,60.1,42851.07,-13045.84,860.65,44801.21,400.0,43165.40521087028,-13041.684192590197,815.988299308432,45099.9287194835,-0.7282109581381236,0.03186557309955506,5.473326116246975,-0.6623485401529028,0.13721643715810478
400.0,-89.9,70.1,42863.67,-12691.04,3094.16,44809.94,400.0,43178.097928305455,-12695.927546875808,3068.9384894972336,45110.45444721405,-0.7282116243924052,-0.038496965721970165,0.8218317372303588,-0.6661747280016702,0.12233126734498036
400.0,-89.9,80.1,42876.16,-11949.95,5232.75,44816.83,400.0,43190.71039950839,-11963.740365202133,5227.711327335549,45120.9210240895,-0.7282825325141348,-0.1152680080072877,0.09638391160016756,-0.6739468459146591,0.1041747887488266
400.0,-89.9,90.1,42888.19,-10845.07,7211.19,44822.02,400.0,43202.85830618854,-10867.343784213623,7226.471628858037,45131.00950512386,-0.7283506659638304,-0.2049607029638546,-0.2114673611532869,-0.6846501075691274,0.08326790166240339
400.0,-89.9,100.1,42899.38,-9410.02,8969.14,44825.78,400.0,43214.171493857815,-9440.109894711313,9004.251960762353,45140.41256011815,-0.7284450516483008,-0.31874517401720337,-0.38994866997680516,-0.6970086055352812,0.06027961350506832
400.0,-89.9,110.1,42909.39,-7688.55,10452.98,44828.5,400.0,43224.30534591228,-7725.54052520117,10506.833834153736,45148.84390836275,-0.7285608025209459,-0.4788082475330263,-0.5125600633244859,-0.7095284854091615,0.0364580789029019
400.0,-89.9,120.1,42917.93,-5733.16,11617.48,44830.61,400.0,43232.95136025659,-5775.92879635383,11688.419555740764,45156.047086629325,-0.7286603165986655,-0.7404661286826937,-0.6069217091537609,-0.7206943645997005,0.017617057874512107
400.0,-89.9,130.1,42924.7,-3603.5,12427.19,44832.47,400.0,43239.84659421854,-3650.746192504157,12513.040951274063,45161.803275576785,-0.7288337472054842,-1.2941516614100605,-0.686091826985676,-0.7292296845792372,0.027245936792371046
400.0,-89.9,140.1,42929.55,-1364.52,12857.54,44834.41,400.0,43244.78168216767,-1414.8071343149722,12955.660086472259,45165.937942678254,-0.7289473316907813,-3.554345542604329,-0.7573530473735608,-0.7340220479844902,0.05121556509220325
400.0,-89.9,150.1,42932.3,915.52,12895.53,44836.54,400.0,43247.60717894208,863.7296845074338,13002.927634128,45168.32610060231,-0.7290742760344139,5.9961254570173805,-0.8259496411109709,-0.7345547848360142,0.07588627993983668
400.0,-89.9,160.1,42932.86,3167.18,12540.2,44838.8,400.0,43248.23803874434,3115.4588947649463,12653.57620198267,45168.89602680417,-0.7292274854337555,1.6601440424061753,-0.8960012582443311,-0.7308038403424367,0.09886396732371346
400.0,-89.9,170.1,42931.23,5321.93,11802.55,44840.98,400.0,43246.6561011553,5271.858038046987,11918.438229957645,45167.631340886466,-0.7293652957063401,0.9497972364135082,-0.9723440917481446,-0.7231978547229528,0.11895990155269913
400.0,-84.9,-179.9,45968.09,7574.87,8447.85,47347.75,400.0,46336.355240619225,7594.326432050426,8499.434990005006,47717.627833859486,-0.7947652306852154,-0.25619694155249584,-0.6069225785674827,-0.7751387708276388,0.0519116881225407
400.0,-84.9,-169.9,45653.31,9231.08,6940.69,47091.52,400.0,46018.65068752142,9268.914723950804,6987.042149816503,47459.95943174941,-0.7938970005926045,-0.40818936280683715,-0.6634016057527435,-0.7763163647016086,0.043732606510052806
400.0,-84.9,-159.9,45254.36,10590.79,5193.57,46766.39,400.0,45615.098696353474,10645.794236429805,5231.997572135051,47132.196666369135,-0.7908317786503255,-0.5166757426287675,-0.7344722853028774,-0.7761290418066895,0.0349251551764329
400.0,-84.9,-149.9,44783.94,11622.73,3261.76,46382.41,400.0,45138.563775937924,11693.312244423818,3289.772712556021,46744.47663093775,-0.7856337159911181,-0.6036120728536677,-0.8515090555984319,-0.7745655894200669,0.02564449096567456
400.0,-84.9,-139.9,44256.13,12304.97,1202.88,45950.68,400.0,44603.28657952372,12389.129610776603,1218.193930652021,46307.965866148996,-0.7783206264515422,-0.6793020447812403,-1.2571012107919721,-0.7715429936648771,0.016481806350180546
400.0,-84.9,-129.9,43686.12,12624.65,-924.1,45483.11,400.0,44024.61132972212,12719.979621533952,-923.4762208618791,45834.67129407425,-0.7688684113233658,-0.7494479108485883,0.06754685437798372,-0.7670204326734247,0.010160556542299673
