Altitude,Latitude,Longitude,B_r,B_phi,B_theta,B_magnitude
400.0,-59.9,-29.9,22610.68,-1580.72,-13417.66,26339.61
400.0,-59.9,-19.9,22549.03,-2534.20,-12848.70,26076.23
400.0,-59.9,-9.9,22636.45,-3560.15,-12435.63,26071.60
400.0,-59.9,0.1,22985.49,-4787.55,-12121.26,26423.07
400.0,-59.9,10.1,23749.69,-6263.82,-11794.34,27246.82
400.0,-59.9,20.1,25077.38,-7930.71,-11322.89,28635.28
400.0,-59.9,30.1,27063.11,-9627.58,-10598.83,30617.59
400.0,-59.9,40.1,29710.49,-11128.92,-9578.95,33140.95
400.0,-59.9,50.1,32921.68,-12205.67,-8303.01,36079.85
400.0,-59.9,60.1,36516.76,-12683.81,-6880.10,39264.34
400.0,-59.9,70.1,40270.55,-12474.79,-5452.55,42509.62
400.0,-59.9,80.1,43944.97,-11573.46,-4160.15,45633.46
400.0,-59.9,90.1,47308.98,-10044.30,-3119.26,48463.98
400.0,-59.9,100.1,50156.63,-8011.41,-2411.65,50849.64
400.0,-59.9,110.1,52332.66,-5644.13,-2075.63,52677.05
400.0,-59.9,120.1,53755.12,-3128.71,-2105.01,53887.22
400.0,-59.9,130.1,54420.09,-636.29,-2460.70,54479.41
400.0,-59.9,140.1,54387.20,1697.64,-3087.57,54501.22
400.0,-59.9,150.1,53755.88,3778.66,-3926.81,54031.41
400.0,-59.9,160.1,52642.85,5549.34,-4920.33,53162.72
400.0,-59.9,170.1,51166.66,6984.50,-6009.81,51989.69
400.0,-54.9,-179.9,47835.66,7965.12,-10055.77,49525.87
400.0,-54.9,-169.9,45725.26,8631.86,-10989.70,47812.99
400.0,-54.9,-159.9,43543.88,9066.08,-11851.93,46029.68
400.0,-54.9,-149.9,41312.31,9334.69,-12624.60,44195.29
400.0,-54.9,-139.9,39009.35,9490.10,-13309.70,42295.86
400.0,-54.9,-129.9,36583.40,9547.06,-13930.45,40293.29
400.0,-54.9,-119.9,33984.83,9455.98,-14522.40,38148.19
400.0,-54.9,-109.9,31220.48,9097.49,-15105.46,35856.07
400.0,-54.9,-99.9,28402.07,8324.97,-15648.00,33478.99
400.0,-54.9,-89.9,25748.49,7049.35,-16050.50,31149.59
400.0,-54.9,-79.9,23523.61,5322.74,-16173.92,29039.41
400.0,-54.9,-69.9,21929.82,3361.10,-15910.35,27301.16
400.0,-54.9,-59.9,21013.24,1471.60,-15255.86,26008.90
400.0,-54.9,-49.9,20643.03,-86.12,-14330.97,25130.04
400.0,-54.9,-39.9,20587.20,-1217.02,-13329.10,24555.63
400.0,-54.9,-29.9,20636.55,-2009.52,-12431.91,24175.56
400.0,-54.9,-19.9,20695.80,-2662.45,-11751.35,23947.84
400.0,-54.9,-9.9,20803.23,-3393.28,-11317.33,23924.27
400.0,-54.9,0.1,21103.78,-4375.14,-11084.05,24235.67
400.0,-54.9,10.1,21806.03,-5691.39,-10939.09,25051.12
400.0,-54.9,20.1,23123.80,-7297.07,-10731.10,26516.29
400.0,-54.9,30.1,25204.61,-9011.99,-10322.81,28688.82
400.0,-54.9,40.1,28070.24,-10565.50,-9646.43,31505.90
400.0,-54.9,50.1,31598.22,-11679.53,-8732.45,34801.07
400.0,-54.9,60.1,35554.05,-12152.23,-7695.20,38353.40
400.0,-54.9,70.1,39654.14,-11897.95,-6683.37,41936.61
400.0,-54.9,80.1,43616.88,-10932.29,-5830.43,45342.49
400.0,-54.9,90.1,47181.69,-9342.21,-5232.39,48381.47
400.0,-54.9,100.1,50122.84,-7273.52,-4941.20,50888.29
400.0,-54.9,110.1,52280.31,-4915.22,-4959.53,52744.55
